Player,Actual_Y,Linear_Regression,MLPRegressor,SVMR,DeepNN
297,78.82051282,77.62442017,77.66230666,79.35931974,77.99916077
298,88.20689655,79.40185547,79.18849972,80.6655686,80.11249542
299,97.31132075,115.0453796,114.4537467,89.26048757,114.7746124
300,79.08641975,78.56066895,77.89764731,80.8571485,77.64170837
301,62.2,70.45120239,70.97879858,73.16365039,70.91954803
302,88.84375,92.5435791,93.62625562,88.37273472,92.38231659
303,64.46428571,73.71972656,74.9331812,76.22541767,74.32240295
304,83.55140187,84.1628418,82.25826528,81.81316159,81.80467987
305,87.87096774,91.06088257,89.92802821,87.48412518,91.36170197
306,79.77142857,78.49636841,79.02634357,81.03319719,77.02008057
307,36,68.58047485,68.491088,72.61313179,68.73288727
308,77.53333333,82.2131958,82.79088478,83.50094208,84.58171082
309,75.11290323,78.70266724,79.57225275,79.35481377,79.59914398
310,88.97457627,87.95175171,84.99374005,84.30036892,85.68695831
311,86.55223881,86.80270386,86.0893557,85.26400473,87.59051514
312,80.3,79.25817871,79.22058993,81.82431841,79.13604736
313,83.15942029,81.34008789,80.46447165,80.4934331,80.89915466
314,79.6,80.15234375,80.06172489,81.67694506,78.33797455
315,84.39252336,81.70388794,83.15575804,83.41807011,82.08985901
316,71,69.32830811,69.64343715,72.72300402,69.50296783
317,86.5045045,88.9574585,88.45217907,84.29019538,88.91757202
318,87.85526316,82.91134644,81.11539604,83.43205442,84.37430573
319,73.2688172,78.46801758,76.83090281,80.23945055,76.50299072
320,91.16129032,84.06713867,83.30220984,85.63078218,83.92086792
321,67.6,73.71932983,74.42108051,75.64332993,74.3132019
322,71.9375,70.39654541,70.48673458,73.21832401,70.29784393
323,67.69230769,72.30490112,72.88617109,74.74465552,72.73993683
324,81,68.47885132,69.02990259,72.44826314,68.79644012
325,93,77.30737305,77.69038216,80.29403291,78.17829132
326,69.5,70.21008301,70.33494477,73.06284126,70.31746674
327,75.66666667,77.91870117,77.74456373,79.12341166,78.39411163
328,81.33684211,89.77154541,89.36166184,84.50137539,89.43869019
329,84.72413793,79.13146973,79.42280537,80.28852734,80.01113129
330,68.57142857,75.14855957,75.56799093,77.46590471,75.85755157
331,81.42352941,82.2947998,84.80672745,85.60465672,83.46672058
332,62.31578947,69.94482422,70.48184912,73.28020012,70.25096893
333,63.5,73.35076904,74.19777615,76.13161202,74.1778183
334,74.5,69.27444458,69.6668617,72.88040734,69.59264374
335,58.25,73.24487305,73.47702702,75.7727527,73.74664307
336,82.40983607,81.73464966,81.58461175,83.74838616,81.82636261
